class_id,common_name_en,common_name_ua,count
252,Reticulocytes/Erythrocytes in Blood by Manual,Ретикулоцити/Еритроцити у крові (ручний метод),30
253,CD13 cells/cells in Blood,CD13 клітини/клітини у крові,30
254,Microscopic observation [Identifier] in Specimen by Wright stain,"Мікроскопія [ідентифікатор] у зразку, фарбування за Райтом",30
255,Lactate dehydrogenase [Enzymatic activity/volume] in Body fluid,ЛДГ [активність/об'єм] у біологічній рідині,30
256,Acanthocytes [Presence] in Blood by Light microscopy,"Акантоцити [наявність] у крові, світлова мікроскопія",28
257,Protein electrophoresis panel - Cerebral spinal fluid,Панель електрофорезу білків — спинномозкова рідина,28
258,Beta 2 globulin [Mass/volume] in Serum or Plasma by Electrophoresis,"Бета-2-глобулін [маса/об'єм] у сироватці або плазмі, електрофорез",28
259,Eosinophils/Leukocytes in Cerebral spinal fluid,Еозинофіли/Лейкоцити у спинномозковій рідині,28
260,Amylase [Enzymatic activity/volume] in Pleural fluid,Амілаза [активність/об'єм] у плевральній рідині,28
261,Calcium oxalate crystals [Presence] in Urine sediment by Light microscopy,"Кристали оксалату кальцію [наявність] в осаді сечі, світлова мікроскопія",28
262,CD19 cells/cells in Body fluid,CD19 клітини/клітини у біологічній рідині,27
263,CD20 cells/cells in Body fluid,CD20 клітини/клітини у біологічній рідині,27
264,CD19 cells/cells in Blood,CD19 клітини/клітини у крові,27
265,CD20 cells/cells in Blood,CD20 клітини/клітини у крові,27
266,CD34 cells/cells in Blood,CD34 клітини/клітини у крові,27
267,Deprecated CD8 cells [#/volume] in Blood,CD8 клітини [кількість/об'єм] у крові (застаріле),27
268,Amylase [Enzymatic activity/volume] in Body fluid,Амілаза [активність/об'єм] у біологічній рідині,27
269,von Willebrand factor (vWf) actual/normal in Platelet poor plasma by Aggregometry.ristocetin cofactor activity,"Активність фактора фон Віллебранда акт./норм. у плазмі, ристоцетин-кофакторна агрегометрія",26
270,CD45 (Lymphs) cells/cells in Bone marrow,CD45 (лімфоцити) клітини/клітини у кістковому мозку,26
271,Bilirubin.total [Mass/volume] in Peritoneal fluid,Загальний білірубін [маса/об'єм] у перитонеальній рідині,25
272,Macrophages/Leukocytes in Cerebral spinal fluid,Макрофаги/Лейкоцити у спинномозковій рідині,24
273,CD5 cells/cells in Blood,CD5 клітини/клітини у крові,24
274,HLA-DR [Presence],HLA-DR [наявність],24
275,CD10 cells/cells in Bone marrow,CD10 клітини/клітини у кістковому мозку,24
276,Glucose-6-Phosphate dehydrogenase [Enzymatic activity/mass] in Red Blood Cells,Глюкозо-6-фосфатдегідрогеназа (Г6ФД) [активність/маса] в еритроцитах,23
277,Mesothelial cells/Leukocytes in Body fluid,Мезотеліальні клітини/Лейкоцити у біологічній рідині,22
278,Urinalysis specimen collection method,Метод збору зразка для загального аналізу сечі,22
279,CD14 cells/cells in Blood,CD14 клітини/клітини у крові,22
280,Macrophages/Leukocytes in Synovial fluid,Макрофаги/Лейкоцити у синовіальній рідині,22
281,Glucose [Mass/volume] in Pleural fluid,Глюкоза [маса/об'єм] у плевральній рідині,21
282,Erythrocytes [#/volume] in Synovial fluid,Еритроцити [кількість/об'єм] у синовіальній рідині,21
283,Bicarbonate [Moles/volume] in Urine,Бікарбонат [моль/об'єм] у сечі,20
284,Platelets reticulated/Platelets in Blood,Ретикульовані тромбоцити/Тромбоцити у крові,20
285,Creatinine [Mass/volume] in Peritoneal fluid,Креатинін [маса/об'єм] у перитонеальній рідині,20
286,Hematocrit [Volume Fraction] of Body fluid by calculation,"Гематокрит [об'ємна частка] у біологічній рідині, розрахунковий",20
287,CD2 cells/cells in Blood,CD2 клітини/клітини у крові,20
288,CD2 cells/cells in Bone marrow,CD2 клітини/клітини у кістковому мозку,20
289,Variant lymphocytes/Leukocytes in Body fluid,Атипові лімфоцити/Лейкоцити у біологічній рідині,19
290,Deprecated CD4 cells/CD8 Cells [# Ratio] in Blood,Співвідношення CD4/CD8 у крові (застаріле),19
291,IgA [Mass/volume] in Serum or Plasma,Імуноглобулін A (IgA) [маса/об'єм] у сироватці або плазмі,18
292,IgM [Mass/volume] in Serum or Plasma,Імуноглобулін M (IgM) [маса/об'єм] у сироватці або плазмі,18
293,Protein [Mass/volume] in Peritoneal fluid,Білок [маса/об'єм] у перитонеальній рідині,18
294,Glucose [Mass/volume] in Peritoneal fluid,Глюкоза [маса/об'єм] у перитонеальній рідині,18
295,CD11c cells/cells in Blood,CD11c клітини/клітини у крові,18
296,CD3 cells [#/volume] in Blood,CD3 клітини [кількість/об'єм] у крові,18
297,CD33 cells/cells in Blood,CD33 клітини/клітини у крові,18
298,CD19 cells/cells in Bone marrow,CD19 клітини/клітини у кістковому мозку,18
299,Triglyceride [Mass/volume] in Pleural fluid,Тригліцериди [маса/об'єм] у плевральній рідині,18
300,Protein [Mass/volume] in Pleural fluid,Білок [маса/об'єм] у плевральній рідині,16
301,Hemoglobin [Presence] in Stool from gastrointestinal,Гемоглобін [наявність] у калі (тест на приховану кров),16
302,CD56 cells/cells in Blood,CD56 клітини/клітини у крові,16
303,CD7 cells/cells in Blood,CD7 клітини/клітини у крові,16
304,CD15 cells/cells in Bone marrow,CD15 клітини/клітини у кістковому мозку,16
305,CD5 cells/cells in Bone marrow,CD5 клітини/клітини у кістковому мозку,16
306,CD7 cells/cells in Bone marrow,CD7 клітини/клітини у кістковому мозку,16
307,Nuclear Ab [Presence] in Serum,Антинуклеарні антитіла (ANA) [наявність] у сироватці,16
308,C reactive protein [Mass/volume] in Serum or Plasma,С-реактивний білок (СРБ) [маса/об'єм] у сироватці або плазмі,15
309,Coagulation factor V activity actual/normal in Platelet poor plasma by Coagulation assay,"Активність фактора згортання V акт./норм. у плазмі, бідній на тромбоцити",15
310,Amylase/Creatinine [Ratio] in Urine,Амілаза/Креатинін [співвідношення] у сечі,15
311,Follitropin [Units/volume] in Serum or Plasma,Фолікулостимулюючий гормон (ФСГ) [од/об'єм] у сироватці або плазмі,15
312,Lymphocytes/Leukocytes in Blood,Лімфоцити/Лейкоцити у крові,15
313,Cancer Ag 125 [Units/volume] in Serum or Plasma,CA-125 [од/об'єм] у сироватці або плазмі,15
314,CD64 cells/cells in Blood,CD64 клітини/клітини у крові,14
315,Hemoglobin S [Presence] in Blood by Solubility test,Гемоглобін S [наявність] у крові (тест на розчинність),13
316,HIV 1 Ab [Units/volume] in Serum or Plasma by Immunoassay,"Антитіла до ВІЛ-1 [од/об'єм] у сироватці або плазмі, імуноаналіз",13
317,Thrombin time,Тромбіновий час (ТЧ),12
318,Epithelial cells.non-squamous [#/area] in Urine sediment by Microscopy high power field,"Несквамозні епітеліальні клітини [кількість/площу] в осаді сечі, мікроскопія (велике збільшення)",12
319,Coagulation factor XIII coagulum dissolution [Units/volume] in Platelet poor plasma by Coagulation assay,"Розчинення коагулюму фактором XIII [од/об'єм] у плазмі, бідній на тромбоцити",12
320,WBC casts [#/area] in Urine sediment by Microscopy low power field,"Лейкоцитарні циліндри [кількість/площу] в осаді сечі, мікроскопія (мале збільшення)",12
321,Albumin [Mass/volume] in Pleural fluid,Альбумін [маса/об'єм] у плевральній рідині,12
322,CD117 cells/cells in Blood,CD117 клітини/клітини у крові,12
323,CD41 cells/cells in Blood,CD41 клітини/клітини у крові,12
324,CD71 cells/cells in Blood,CD71 клітини/клітини у крові,12
325,CD3 cells/cells in Bone marrow,CD3 клітини/клітини у кістковому мозку,12
326,Deprecated CD4 cells/100 cells in Bone marrow,CD4 клітини/100 клітин у кістковому мозку (застаріле),12
327,CD8+HLA-DR+ cells/cells in Bone marrow,CD8+HLA-DR+ клітини/клітини у кістковому мозку,12
328,Deprecated CD4 cells/100 cells in Blood,CD4 клітини/100 клітин у крові (застаріле),12
329,Bite cells [Presence] in Blood by Light microscopy,"Надкушені клітини (bite cells) [наявність] у крові, світлова мікроскопія",12
330,Plasma cells/Leukocytes in Peritoneal fluid by Manual count,"Плазматичні клітини/Лейкоцити у перитонеальній рідині, ручний підрахунок",12
331,Neutrophils.hypersegmented [#/volume] in Blood by Manual count,"Гіперсегментовані нейтрофіли [кількість/об'єм] у крові, ручний підрахунок",11
332,CD14 cells/cells in Bone marrow,CD14 клітини/клітини у кістковому мозку,11
333,pH of Urine,pH сечі,10
334,Acetone [Presence] in Serum or Plasma,Ацетон [наявність] у сироватці або плазмі,10
335,Pencil cells [Presence] in Blood by Light microscopy,"Олівцеподібні клітини [наявність] у крові, світлова мікроскопія",10
336,Phosphate [Mass/volume] in Urine,Фосфати [маса/об'єм] у сечі,10
337,CD2 cells/cells in Body fluid,CD2 клітини/клітини у біологічній рідині,10
338,CD23 cells/cells in Body fluid,CD23 клітини/клітини у біологічній рідині,10
339,CD235a cells/cells in Blood,CD235a клітини/клітини у крові,10
340,CD13 cells/cells in Bone marrow,CD13 клітини/клітини у кістковому мозку,10
341,HLA-DR+ cells/cells in Bone marrow,HLA-DR+ клітини/клітини у кістковому мозку,10
342,Deprecated CD8 cells/100 cells in Blood,CD8 клітини/100 клітин у крові (застаріле),10
343,CD23 cells/cells in Bone marrow,CD23 клітини/клітини у кістковому мозку,10
344,Bilirubin.total [Mass/volume] in Pleural fluid,Загальний білірубін [маса/об'єм] у плевральній рідині,10
345,Albumin [Mass/volume] in Urine,Альбумін [маса/об'єм] у сечі,9
346,Iron.microscopic observation [Identifier] in Bone marrow by Potassium ferrocyanide stain,"Залізо в кістковому мозку [ідентифікатор], фарбування ферроціанідом калію",9
347,Amylase [Enzymatic activity/volume] in Urine,Амілаза [активність/об'єм] у сечі,9
348,CD11c cells/cells in Bone marrow,CD11c клітини/клітини у кістковому мозку,9
349,CD33 cells/cells in Bone marrow,CD33 клітини/клітини у кістковому мозку,9
350,CD34 cells/cells in Bone marrow,CD34 клітини/клітини у кістковому мозку,9
351,Leukocytes [#/volume] in Blood,Лейкоцити [кількість/об'єм] у крові,9
352,carBAMazepine [Mass/volume] in Serum or Plasma,Карбамазепін [маса/об'єм] у сироватці або плазмі,9
353,Smooth muscle Ab [Presence] in Serum,Антитіла до гладких м'язів (SMA) [наявність] у сироватці,9
354,CD5 cells/cells in Body fluid,CD5 клітини/клітини у біологічній рідині,8
355,CD7 cells/cells in Body fluid,CD7 клітини/клітини у біологічній рідині,8
356,Testosterone [Mass/volume] in Serum or Plasma,Тестостерон [маса/об'єм] у сироватці або плазмі,8
357,Lymphocytes [#/volume] in Blood,Лімфоцити [кількість/об'єм] у крові,8
358,Albumin [Mass/volume] in Body fluid,Альбумін [маса/об'єм] у біологічній рідині,8
359,Porphobilinogen [Presence] in Urine,Порфобіліноген [наявність] у сечі,7
360,Eosinophils [#/volume] in Blood,Еозинофіли [кількість/об'єм] у крові,7
361,CD64 cells/cells in Bone marrow,CD64 клітини/клітини у кістковому мозку,7
362,Platelet clump [Presence] in Blood by Automated count,"Скупчення тромбоцитів [наявність] у крові, автоматичний підрахунок",7
363,Viscosity of Serum,В'язкість сироватки,6
364,CD3 cells/cells in Body fluid,CD3 клітини/клітини у біологічній рідині,6
365,Choriogonadotropin [Moles/volume] in Serum or Plasma,Хоріонічний гонадотропін (ХГЛ) [моль/об'єм] у сироватці або плазмі,6
366,CD117 cells/cells in Bone marrow,CD117 клітини/клітини у кістковому мозку,6
367,CD41 cells/cells in Bone marrow,CD41 клітини/клітини у кістковому мозку,6
368,CD3 cells/cells in Blood,CD3 клітини/клітини у крові,6
369,Sirolimus [Mass/volume] in Blood,Сиролімус [маса/об'єм] у крові,6
370,Glucose [Mass/volume] in Body fluid,Глюкоза [маса/об'єм] у біологічній рідині,6
371,Triglyceride [Mass/volume] in Body fluid,Тригліцериди [маса/об'єм] у біологічній рідині,6
372,Oval macrocytes [Presence] in Blood by Light microscopy,"Овальні макроцити [наявність] у крові, світлова мікроскопія",6
373,Casts [#/area] in Urine sediment by Microscopy low power field,"Циліндри [кількість/площу] в осаді сечі, мікроскопія (мале збільшення)",5
374,Parasite identified in Blood,Паразит ідентифікований у крові,5
375,HLA-DR+ cells/cells in Body fluid,HLA-DR+ клітини/клітини у біологічній рідині,5
376,CD235a cells/cells in Bone marrow,CD235a клітини/клітини у кістковому мозку,5
377,Bilirubin.total [Mass/volume] in Body fluid,Загальний білірубін [маса/об'єм] у біологічній рідині,5
378,Creatinine [Mass/volume] in Body fluid,Креатинін [маса/об'єм] у біологічній рідині,4
379,Complement C3 [Mass/volume] in Serum or Plasma,Комплемент С3 [маса/об'єм] у сироватці або плазмі,4
380,Complement C4 [Mass/volume] in Serum or Plasma,Комплемент С4 [маса/об'єм] у сироватці або плазмі,4
381,Myoglobin [Presence] in Urine,Міоглобін [наявність] у сечі,4
382,pH of Body fluid,pH біологічної рідини,4
383,Creatinine [Mass/volume] in Pleural fluid,Креатинін [маса/об'єм] у плевральній рідині,4
384,Protein [Mass/volume] in Body fluid,Білок [маса/об'єм] у біологічній рідині,4
385,Chloride [Moles/volume] in Body fluid,Хлориди [моль/об'єм] у біологічній рідині,3
386,Potassium [Moles/volume] in Body fluid,Калій [моль/об'єм] у біологічній рідині,3
387,Sodium [Moles/volume] in Body fluid,Натрій [моль/об'єм] у біологічній рідині,3
388,FMC7 cells/cells in Body fluid,FMC7 клітини/клітини у біологічній рідині,3
389,Urate [Mass/volume] in Urine,Сечова кислота [маса/об'єм] у сечі,3
